MASTER_ID,NAME,LOC,STATUS,BILL_ACC_CNT,SERV_ACC_CNT,ACTV_ASSET_CNT,ORDER_CNT,TOT_NEW_SALE,TOT_UPGRADE,TOT_DGRADE,TOT_CHURN_AMT,Revenue(ZAR)
1-C7-13720,ASTRAZENECA PHARMACEUTICAL (PTY) LTD,BRYANSTON,Active,1,12,214,30,-2693250,0,0,-2324226.24,R340 162.89
1-C7-13744,IRESS WEALTH MANAGEMENT (PTY) LTD,WOODMEAD,Active,1,1,12,0,0,0,0,0,R7 600.00
1-C7-13858,NETEXEC IT SERVICES (PTY) LTD,JOHANNESBURG,Active,1,3,36,4,0,0,0,0,R52 540.51
1-C7-13940,STATE INFORMATION TECHNOLOGY AGENCY - SITATION TECHNOLOGY AGENCY - SITA,CENTURION - HEAD OFFICE,Active,2,111,507,2,0,0,-3139608,0,R682 176.62
1-C7-14053,CATERPLUS,JOHANNESBURG,Active,1,1,8,0,0,0,0,0,R0.00
1-C7-14109,ENTERPRISE OUTSOURCING OPERATIONS (PTY) LTD,SANDTON,Active,1,0,12,0,0,0,0,0,R2 053.43
1-C7-14219,NATIONAL YOUTH DEVELOPMENT AGENCY,HEADOFFICE,Active,2,16,325,157,282500.4,0,0,-5681397.84,R700 423.29
1-C7-14298,VERPAKT MANAGEMENT SERVICES,HEAD OFFICE,Active,1,0,9,2,0,0,0,0,R28 786.00
1-C7-1430,GARDEN ROUTE GAME LODGE,CAPE TOWN,Active,1,0,5,0,0,0,0,0,R0.00
1-C7-14479,WEARCHECK AFRICA,DURBAN,Active,1,0,1,0,0,0,0,0,R217.28
1-C7-14785,CLINIX HEALTH GROUP LTD,HOUGHTON,Active,1,10,323,15,62500,0,-1326.36,-163404.72,R225 372.17
1-C7-1714,COCA-COLA CANNERS OF SOUTHERN AFRICA,JHB.,Active,2,0,5,3,0,0,0,-117123.6,R5 210.00
1-C7-1739,COMPENSATION SOLUTIONS (PTY) LTD,PORT ELIZABETH,Active,1,1,3,0,0,0,0,0,R0.00
1-C7-1751,COMPUTER FX,MIDDLEBURG,Active,1,9,9,0,0,0,0,0,R0.00
1-C7-1893,ROYAL CANIN SOUTH AFRICA,BILLING ACCOUNT - JOHANNESBURG,Active,1,1,4,0,0,0,0,0,R394.80
1-C7-2132,F & R CATAI TRANSPORT SOLUTIONS (PTY)LTD,KRUGERSDORP,Inactive,0,0,0,0,0,0,0,0,R0.00
1-C7-2187,ASTON BAY 16CC T/A AJ SOLUTIONS,MAIN SERVICE ACCOUNT,Inactive,1,3,1,1,0,0,0,0,R155.12
1-C7-2240,INTERACTIVE SYSTEMS DESIGNS(PTY) LTD,CRESTA,Active,1,8,30,2,0,0,0,-166973.64,R49 410.01
1-C7-2251,BUSINESS ENG SYSTEMS (PTY) LTD,ORA-4053_BUS010,Active,1,2,29,4,0,0,0,0,R29 253.87
1-C7-2256,ROBERT BOSCH (PTY) LTD,ORA-4058_BOS003,Active,1,1,11,0,0,0,0,0,R2 336.94
1-C7-2270,BRAIT SOUTH AFRICA LIMITED,ORA-4073_BRA008,Active,1,2,0,23,0,0,0,0,R112.00
1-C7-2279,BRIDGESTONE,ORA-4082_BRI004,Active,1,0,12,0,186472,0,0,0,R35 919.00
1-C7-2282,BRIDGESTONE SA (PTY) LTD,ORA-4085_BRI010,Active,1,0,0,0,1272538,0,0,0,R1 366.67
1-C7-2286,BLENDCOR (PTY) LTD,ORA-4091_BLE002,Active,1,1,5,3,64480.08,0,0,0,R15 761.79
1-C7-2295,BMW SOUTH AFRICA (PTY) LTD.,ORA-4100_BMW001,Active,4,94,1215,54,4114751.6,0,0,-998297.76,R1 598 225.24
1-C7-2299,FRESENIUS KABI MANUFACTURING SA (PTY) LTD,ORA-4104_BOD001,Active,1,1,0,0,0,0,0,0,R106.67
1-C7-2316,BEHR SA (PTY) LTD,ORA-4121_BEH001,Active,1,1,55,0,0,0,0,0,R303.79
1-C7-2318,BEKA SCHREDER (PTY) LTD,ORA-4123_BEK001,Active,1,6,99,7,29406,0,0,0,R84 441.55
1-C7-2319,BELTING SUPPLY SERVICES LTD,ORA-4124_BEL003,Active,1,8,0,31,0,0,0,-316097.4,R9 026.88
1-C7-2322,BELAY SOLUTIONS (PTY) LTD,ORA-4127_BEL006,Active,1,1,0,0,0,0,0,0,R16.67
1-C7-2324,BENWEST INTERNET SERVICES T/A IMAGINE,ORA-4129_BEN003,Active,1,21,23,4,0,0,0,-3600,R1 882.73
1-C7-2330,BID OR BUY,ORA-4135_BID001,Active,1,0,0,0,0,0,0,0,R16.67
1-C7-2331,MYMARKET.COM (PTY) LTD,ORA-4136_BID002,Active,1,1,69,4,0,0,0,-7440,R63 992.49
1-C7-2342,AVROY SHLAIN COSMETICS (PTY) LTD,ORA-4175_AVR001,Active,1,0,1,0,0,0,0,0,R121 573.37
1-C7-2343,ARCH WATER PRODUCTS SA (PTY) LTD,ORA-4234_AQU002,Active,1,7,15,8,121822,68816,0,-9228,R19 073.07
1-C7-2344,AQUA ONLINE (PTY) LTD,ORA-4235_AQU004,Active,1,0,0,2,360650,0,0,0,R5 000.00
1-C7-2345,AQUA ONLINE (PTY) LTD,ORA-4236_,Active,1,5,45,8,2031497.08,67552,0,0,R126 416.04
1-C7-2346,ARANDA TEXTILES (PTY) LTD,ORA-4237_ARA001,Active,1,1,1,0,0,0,0,0,R0.00
1-C7-2347,AGRICULTURAL RESEARCH COUNCIL,ARC HO,Active,1,50,203,33,0,0,0,-584280,R283 947.07
1-C7-2352,ARTHUR KAPLAN,ORA-4243_ART007,Active,1,1,7,0,0,0,0,0,R3 010.67
1-C7-2353,ARVATO SYSTEMS,ORA-4244_ARV001,Active,1,0,9,2,18182,0,0,-14834.4,R824.13
1-C7-2357,UMICORE CATALYST SOUTH AFRICA (PTY) LTD,ORA-4248_ASE002,Active,2,1,16,2,0,0,0,25284,R4 034.12
1-C7-2366,AFRICAN MINING TRUST,ORA-4257_ASS009,Active,1,1,23,0,0,0,0,0,R21 098.39
1-C7-2369,ASTUTE FINANCIAL SERVICES EXCHANGE (PTY) LTD,ORA-4260_AST003,Active,1,0,158,15,495100,94200,0,-17820,R344 920.20
1-C7-2387,AFRICAN RAINBOW MINERALS,ORA-4279_9. AFRICA RAINBOW MINERALS,Active,1,10,357,54,547717.5,126303.92,0,-736836,R896 004.69
1-C7-2389,ANGLOGOLD ASHANTI LTD,ORA-4281_ANG016,Active,1,1,0,0,0,0,0,0,R3 824.43
